pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus,,1614
469915132,Problems_TF1_only/COM/COM072_5.p,9376107,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.04,300.296,4423752,--,Unknown,UNK-Non,Non,UNK,,
469915016,Problems_TF1_only/COM/COM073_5.p,9376019,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.21,88.5338,41312012,--,Unknown,UNK-Non,Non,UNK,,
469915018,Problems_TF1_only/COM/COM073_5.p,9376019,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.04,300.323,753388,--,Unknown,UNK-Non,Non,UNK,,
469915019,Problems_TF1_only/COM/COM074_5.p,9376023,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.06,175.523,34262632,--,Unknown,UNK-Non,Non,UNK,,
469915021,Problems_TF1_only/COM/COM074_5.p,9376023,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.09,300.411,2060396,--,Unknown,UNK-Non,Non,UNK,,
469915127,Problems_TF1_only/COM/COM075_5.p,9376102,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.12,264.983,34232780,--,Unknown,UNK-Non,Non,UNK,,
469915129,Problems_TF1_only/COM/COM075_5.p,9376102,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.01,300.311,3937760,--,Unknown,UNK-Non,Non,UNK,,
469914941,Problems_TF1_only/COM/COM076_5.p,9375955,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.08,264.8,34211016,--,Unknown,UNK-Non,Non,UNK,,
469914943,Problems_TF1_only/COM/COM076_5.p,9375955,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.03,300.338,2804648,--,Unknown,UNK-Non,Non,UNK,,
469914977,Problems_TF1_only/COM/COM077_5.p,9375986,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.09,215.196,34247872,--,Unknown,UNK-Non,Non,UNK,,
469914979,Problems_TF1_only/COM/COM077_5.p,9375986,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.1,300.364,3981392,--,Unknown,UNK-Non,Non,UNK,,
469914932,Problems_TF1_only/COM/COM078_5.p,9375945,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.15,244.429,34227388,--,Unknown,UNK-Non,Non,UNK,,
469914934,Problems_TF1_only/COM/COM078_5.p,9375945,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.07,300.334,3627528,--,Unknown,UNK-Non,Non,UNK,,
469914983,Problems_TF1_only/COM/COM079_5.p,9375995,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.05,143.814,34381948,--,Unknown,UNK-Non,Non,UNK,,
469914985,Problems_TF1_only/COM/COM079_5.p,9375995,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.06,300.297,6588216,--,Unknown,UNK-Non,Non,UNK,,
469915157,Problems_TF1_only/COM/COM080_5.p,9376129,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,28.4375,23.0974,33952712,Theorem,Theorem,THM-CRf,CRf,THM,,
469915159,Problems_TF1_only/COM/COM080_5.p,9376129,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,complete,0.230206,0.384493,119288,Theorem,Theorem,THM-Ass,Ass,THM,,
469915070,Problems_TF1_only/COM/COM081_5.p,9376059,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,82.0342,80.2522,33885716,Theorem,Theorem,THM-CRf,CRf,THM,,
469915072,Problems_TF1_only/COM/COM081_5.p,9376059,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,complete,0.211505,0.405402,119288,Theorem,Theorem,THM-Ass,Ass,THM,,
469914947,Problems_TF1_only/COM/COM082_5.p,9375962,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.13,101.969,35336940,--,Unknown,UNK-Non,Non,UNK,,
469914949,Problems_TF1_only/COM/COM082_5.p,9375962,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.03,300.282,1605104,--,Unknown,UNK-Non,Non,UNK,,
469914902,Problems_TF1_only/COM/COM083_5.p,9375924,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.14,182.535,34215468,--,Unknown,UNK-Non,Non,UNK,,
469914904,Problems_TF1_only/COM/COM083_5.p,9375924,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.09,300.327,1308092,--,Unknown,UNK-Non,Non,UNK,,
469914896,Problems_TF1_only/COM/COM084_5.p,9375918,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.11,229.537,34216240,--,Unknown,UNK-Non,Non,UNK,,
469914898,Problems_TF1_only/COM/COM084_5.p,9375918,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.05,300.311,2208900,--,Unknown,UNK-Non,Non,UNK,,
469914956,Problems_TF1_only/COM/COM085_5.p,9375967,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.22,186.256,34230480,--,Unknown,UNK-Non,Non,UNK,,
469914958,Problems_TF1_only/COM/COM085_5.p,9375967,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.06,300.332,782248,--,Unknown,UNK-Non,Non,UNK,,
469915061,Problems_TF1_only/COM/COM086_5.p,9376055,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.2,193.831,34225000,--,Unknown,UNK-Non,Non,UNK,,
469915063,Problems_TF1_only/COM/COM086_5.p,9376055,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.02,300.307,1818612,--,Unknown,UNK-Non,Non,UNK,,
469915163,Problems_TF1_only/COM/COM087_5.p,9376135,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.06,288.513,33960024,--,Unknown,UNK-Non,Non,UNK,,
469915165,Problems_TF1_only/COM/COM087_5.p,9376135,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.03,300.258,3389648,--,Unknown,UNK-Non,Non,UNK,,
469915085,Problems_TF1_only/COM/COM088_5.p,9376071,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,16.1507,15.9512,33828696,Theorem,Theorem,THM-CRf,CRf,THM,,
469915087,Problems_TF1_only/COM/COM088_5.p,9376071,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.01,300.275,4049388,--,Theorem,UNK-Non,Non,UNK,,
469915145,Problems_TF1_only/COM/COM089_5.p,9376122,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.04,229.498,34838840,--,Unknown,UNK-Non,Non,UNK,,
469915147,Problems_TF1_only/COM/COM089_5.p,9376122,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.02,300.244,2996368,--,Unknown,UNK-Non,Non,UNK,,
469915043,Problems_TF1_only/COM/COM090_5.p,9376043,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,58.2596,58.2156,33791376,Theorem,Theorem,THM-CRf,CRf,THM,,
469915045,Problems_TF1_only/COM/COM090_5.p,9376043,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,complete,0.248937,0.407754,119288,Theorem,Theorem,THM-Ass,Ass,THM,,
469915100,Problems_TF1_only/COM/COM091_5.p,9376081,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.01,298.044,33908560,--,Unknown,UNK-Non,Non,UNK,,
469915102,Problems_TF1_only/COM/COM091_5.p,9376081,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.05,300.303,2653872,--,Unknown,UNK-Non,Non,UNK,,
469914905,Problems_TF1_only/COM/COM092_5.p,9375925,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.01,298.879,33916776,--,Theorem,UNK-Non,Non,UNK,,
