pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
423843507,Problems/PUZ/PUZ067+1.p,7414759,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055597,0.0848029,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843508,Problems/PUZ/PUZ068-1.p,7414760,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054807,0.114078,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843509,Problems/PUZ/PUZ068+1.p,7414761,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054938,0.0580961,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843510,Problems/PUZ/PUZ068+2.p,7414762,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.05482,0.0951431,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843511,Problems/PUZ/PUZ069-1.p,7414763,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054682,0.065862,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843512,Problems/PUZ/PUZ069+1.p,7414764,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055437,0.105372,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843513,Problems/PUZ/PUZ069+2.p,7414765,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.053776,0.085101,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843514,Problems/PUZ/PUZ070-1.p,7414766,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055062,0.0874659,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843515,Problems/PUZ/PUZ070+1.p,7414767,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054541,0.055181,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843516,Problems/PUZ/PUZ071-1.p,7414768,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054498,0.084451,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843517,Problems/PUZ/PUZ071+1.p,7414769,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055267,0.095508,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843518,Problems/PUZ/PUZ072-1.p,7414770,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055129,0.0746031,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843519,Problems/PUZ/PUZ072+1.p,7414771,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055006,0.154816,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843520,Problems/PUZ/PUZ073+1.p,7414772,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054421,0.104707,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843521,Problems/PUZ/PUZ074+1.p,7414773,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.05595,0.0604211,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843522,Problems/PUZ/PUZ075+1.p,7414774,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055917,0.084832,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843523,Problems/PUZ/PUZ076+1.p,7414775,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.053823,0.105939,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843524,Problems/PUZ/PUZ077+1.p,7414776,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054839,0.058931,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843525,Problems/PUZ/PUZ078+1.p,7414777,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054159,0.058707,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843526,Problems/PUZ/PUZ079+2.p,7414778,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.053788,0.07462,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843527,Problems/PUZ/PUZ080+2.p,7414779,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054248,0.0579701,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843528,Problems/PUZ/PUZ081^1.p,7414780,Satallax---3.3,20261,Satallax---3.3,302728,complete,88.9166,89.0889,345684.0,Theorem,Theorem,THM-Prf,Prf,THM
423843529,Problems/PUZ/PUZ081^2.p,7414781,Satallax---3.3,20261,Satallax---3.3,302728,complete,114.6,114.75,385892.0,Theorem,Theorem,THM-Prf,Prf,THM
423843530,Problems/PUZ/PUZ081^3.p,7414782,Satallax---3.3,20261,Satallax---3.3,302728,complete,7.18007,7.3549,282684.0,Theorem,Theorem,THM-Prf,Prf,THM
423843531,Problems/PUZ/PUZ082^1.p,7414783,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.119249,0.29547,119280.0,Theorem,Theorem,THM-Prf,Prf,THM
423843532,Problems/PUZ/PUZ083^1.p,7414784,Satallax---3.3,20261,Satallax---3.3,302728,complete,66.7278,33.593,405424.0,Theorem,Theorem,THM-Prf,Prf,THM
423843533,Problems/PUZ/PUZ084^1.p,7414785,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.127622,0.319328,119280.0,Theorem,Theorem,THM-Prf,Prf,THM
423843534,Problems/PUZ/PUZ085^1.p,7414786,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.123341,0.347182,119280.0,Theorem,Theorem,THM-Prf,Prf,THM
423843535,Problems/PUZ/PUZ086^1.p,7414787,Satallax---3.3,20261,Satallax---3.3,302728,complete,75.9639,75.6726,504952.0,Theorem,Theorem,THM-Prf,Prf,THM
423843536,Problems/PUZ/PUZ087^1.p,7414788,Satallax---3.3,20261,Satallax---3.3,302728,timeout (wallclock),519.95,520.032,3032180.0,--,Theorem,UNK-Non,Non,UNK
423843537,Problems/PUZ/PUZ087^2.p,7414789,Satallax---3.3,20261,Satallax---3.3,302728,timeout (wallclock),519.98,520.023,1466072.0,--,Theorem,UNK-Non,Non,UNK
423843538,Problems/PUZ/PUZ088^5.p,7414790,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.123448,0.325369,119280.0,Theorem,Theorem,THM-Prf,Prf,THM
423843539,Problems/PUZ/PUZ090^5.p,7414791,Satallax---3.3,20261,Satallax---3.3,302728,complete,2.13043,2.2651,300036.0,Theorem,Theorem,THM-Prf,Prf,THM
423843540,Problems/PUZ/PUZ091^5.p,7414792,Satallax---3.3,20261,Satallax---3.3,302728,complete,6.73452,6.88949,462536.0,Theorem,Theorem,THM-Prf,Prf,THM
423843541,Problems/PUZ/PUZ092^5.p,7414793,Satallax---3.3,20261,Satallax---3.3,302728,complete,1.14275,1.24903,278388.0,Theorem,Theorem,THM-Prf,Prf,THM
423843542,Problems/PUZ/PUZ093^5.p,7414794,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.143481,0.314388,119280.0,Theorem,Theorem,THM-Prf,Prf,THM
423843543,Problems/PUZ/PUZ094^5.p,7414795,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.328933,0.49308,119280.0,Theorem,Theorem,THM-Prf,Prf,THM
