pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus
470458930,Sledgehammer_lambdas/sn/sn0046.pfho.p,8266154,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.057337,0.0571,113188,Theorem,THM-Prf,Prf,THM
470459050,Sledgehammer_lambdas/sn/sn0047.pfho.p,8266184,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.22363,1.22159,161000,Theorem,THM-Prf,Prf,THM
470459014,Sledgehammer_lambdas/sn/sn0048.pfho.p,8266175,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.10133,0.100954,113188,Theorem,THM-Prf,Prf,THM
470458870,Sledgehammer_lambdas/sn/sn0049.pfho.p,8266139,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.221451,0.220481,113188,Theorem,THM-Prf,Prf,THM
470458922,Sledgehammer_lambdas/sn/sn0050.pfho.p,8266152,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.268673,0.266989,113188,Theorem,THM-Prf,Prf,THM
470459066,Sledgehammer_lambdas/sn/sn0051.pfho.p,8266188,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.115,298.452,626952,--,UNK-Non,Non,UNK
470458850,Sledgehammer_lambdas/sn/sn0052.pfho.p,8266134,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.03,298.316,806448,--,UNK-Non,Non,UNK
470459010,Sledgehammer_lambdas/sn/sn0053.pfho.p,8266174,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.06,298.414,604308,--,UNK-Non,Non,UNK
470458806,Sledgehammer_lambdas/sn/sn0054.pfho.p,8266123,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.043,298.208,640508,--,UNK-Non,Non,UNK
470459162,Sledgehammer_lambdas/sn/sn0055.pfho.p,8266212,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.04,298.516,581408,--,UNK-Non,Non,UNK
470458750,Sledgehammer_lambdas/sn/sn0056.pfho.p,8266109,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.02,298.394,764740,--,UNK-Non,Non,UNK
470459106,Sledgehammer_lambdas/sn/sn0057.pfho.p,8266198,vampire_polymorphic_csup,26467,casc_abs,344626,complete,20.5928,20.4867,237884,Theorem,THM-Prf,Prf,THM
470459170,Sledgehammer_lambdas/sn/sn0058.pfho.p,8266214,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.959011,0.955386,153832,Theorem,THM-Prf,Prf,THM
470458790,Sledgehammer_lambdas/sn/sn0059.pfho.p,8266119,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.03,298.316,662908,--,UNK-Non,Non,UNK
470459090,Sledgehammer_lambdas/sn/sn0060.pfho.p,8266194,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.29965,1.29156,158692,Theorem,THM-Prf,Prf,THM
470458754,Sledgehammer_lambdas/sn/sn0061.pfho.p,8266110,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.02,298.358,559776,--,UNK-Non,Non,UNK
470459150,Sledgehammer_lambdas/sn/sn0062.pfho.p,8266209,vampire_polymorphic_csup,26467,casc_abs,344626,complete,7.41193,7.38111,191056,Theorem,THM-Prf,Prf,THM
470458834,Sledgehammer_lambdas/sn/sn0063.pfho.p,8266130,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.735701,0.731088,154088,Theorem,THM-Prf,Prf,THM
470458962,Sledgehammer_lambdas/sn/sn0064.pfho.p,8266162,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.171848,0.170911,113188,Theorem,THM-Prf,Prf,THM
470458910,Sledgehammer_lambdas/sn/sn0065.pfho.p,8266149,vampire_polymorphic_csup,26467,casc_abs,344626,complete,58.0163,57.6755,467668,Theorem,THM-Prf,Prf,THM
470459030,Sledgehammer_lambdas/sn/sn0066.pfho.p,8266179,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.07,298.4,787120,--,UNK-Non,Non,UNK
470458950,Sledgehammer_lambdas/sn/sn0067.pfho.p,8266159,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.064872,0.064379,113188,Theorem,THM-Prf,Prf,THM
470458898,Sledgehammer_lambdas/sn/sn0068.pfho.p,8266146,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.064206,0.063959,113188,Theorem,THM-Prf,Prf,THM
470458986,Sledgehammer_lambdas/sn/sn0069.pfho.p,8266168,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.052,298.322,871308,--,UNK-Non,Non,UNK
470459042,Sledgehammer_lambdas/sn/sn0070.pfho.p,8266182,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.082206,0.0817969,113188,Theorem,THM-Prf,Prf,THM
470458938,Sledgehammer_lambdas/sn/sn0071.pfho.p,8266156,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.184892,0.18363,113188,Theorem,THM-Prf,Prf,THM
470458974,Sledgehammer_lambdas/sn/sn0072.pfho.p,8266165,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.30869,1.30471,157664,Theorem,THM-Prf,Prf,THM
470458894,Sledgehammer_lambdas/sn/sn0073.pfho.p,8266145,vampire_polymorphic_csup,26467,casc_abs,344626,complete,2.10712,2.09626,157924,Theorem,THM-Prf,Prf,THM
470459130,Sledgehammer_lambdas/sn/sn0074.pfho.p,8266204,vampire_polymorphic_csup,26467,casc_abs,344626,complete,81.7828,81.2794,441440,Theorem,THM-Prf,Prf,THM
470458846,Sledgehammer_lambdas/sn/sn0075.pfho.p,8266133,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.30394,1.29653,157664,Theorem,THM-Prf,Prf,THM
470459078,Sledgehammer_lambdas/sn/sn0076.pfho.p,8266191,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.776803,0.777761,153320,Theorem,THM-Prf,Prf,THM
470458770,Sledgehammer_lambdas/sn/sn0077.pfho.p,8266114,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.05779,0.0573951,113188,Theorem,THM-Prf,Prf,THM
470458818,Sledgehammer_lambdas/sn/sn0078.pfho.p,8266126,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.087554,0.087186,113188,Theorem,THM-Prf,Prf,THM
470459142,Sledgehammer_lambdas/sn/sn0079.pfho.p,8266207,vampire_polymorphic_csup,26467,casc_abs,344626,complete,13.143,13.1456,161888,Theorem,THM-Prf,Prf,THM
470458738,Sledgehammer_lambdas/sn/sn0080.pfho.p,8266106,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.253748,0.251695,113188,Theorem,THM-Prf,Prf,THM
470459122,Sledgehammer_lambdas/sn/sn0081.pfho.p,8266202,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.142232,0.14123,113188,Theorem,THM-Prf,Prf,THM
470458782,Sledgehammer_lambdas/sn/sn0082.pfho.p,8266117,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.477274,0.475489,113188,Theorem,THM-Prf,Prf,THM
470459174,Sledgehammer_lambdas/sn/sn0083.pfho.p,8266215,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.369805,0.368406,113188,Theorem,THM-Prf,Prf,THM
470458874,Sledgehammer_lambdas/sn/sn0084.pfho.p,8266140,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.08,298.406,589720,--,UNK-Non,Non,UNK
470458990,Sledgehammer_lambdas/sn/sn0085.pfho.p,8266169,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.03,298.35,746828,--,UNK-Non,Non,UNK
470458934,Sledgehammer_lambdas/sn/sn0086.pfho.p,8266155,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.01,298.315,724188,--,UNK-Non,Non,UNK
470459058,Sledgehammer_lambdas/sn/sn0087.pfho.p,8266186,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.01,298.385,667128,--,UNK-Non,Non,UNK
470459006,Sledgehammer_lambdas/sn/sn0088.pfho.p,8266173,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.05,298.309,663672,--,UNK-Non,Non,UNK
470458858,Sledgehammer_lambdas/sn/sn0089.pfho.p,8266136,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.07,298.304,601748,--,UNK-Non,Non,UNK
470458914,Sledgehammer_lambdas/sn/sn0090.pfho.p,8266150,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.048503,0.0481049,113188,Theorem,THM-Prf,Prf,THM
470459062,Sledgehammer_lambdas/sn/sn0091.pfho.p,8266187,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.046309,0.0451699,113188,Theorem,THM-Prf,Prf,THM
470458862,Sledgehammer_lambdas/sn/sn0092.pfho.p,8266137,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.051,298.409,500416,--,UNK-Non,Non,UNK
470459018,Sledgehammer_lambdas/sn/sn0093.pfho.p,8266176,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.089,298.413,552608,--,UNK-Non,Non,UNK
470458814,Sledgehammer_lambdas/sn/sn0094.pfho.p,8266125,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.22946,0.228044,113188,Theorem,THM-Prf,Prf,THM
470459166,Sledgehammer_lambdas/sn/sn0095.pfho.p,8266213,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.220237,0.219361,113188,Theorem,THM-Prf,Prf,THM
470458742,Sledgehammer_lambdas/sn/sn0096.pfho.p,8266107,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.71844,1.71071,157540,Theorem,THM-Prf,Prf,THM
470459102,Sledgehammer_lambdas/sn/sn0097.pfho.p,8266197,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.07378,0.0734499,113188,Theorem,THM-Prf,Prf,THM
470459186,Sledgehammer_lambdas/sn/sn0098.pfho.p,8266218,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.18005,1.17604,154724,Theorem,THM-Prf,Prf,THM
470458802,Sledgehammer_lambdas/sn/sn0099.pfho.p,8266122,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.047374,0.047152,113188,Theorem,THM-Prf,Prf,THM
470458890,Sledgehammer_lambdas/sn/sn0100.pfho.p,8266144,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.09,298.472,780216,--,UNK-Non,Non,UNK
470458970,Sledgehammer_lambdas/sn/sn0101.pfho.p,8266164,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.04,298.315,781492,--,UNK-Non,Non,UNK
470458942,Sledgehammer_lambdas/sn/sn0102.pfho.p,8266157,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.07,298.365,569628,--,UNK-Non,Non,UNK
470459046,Sledgehammer_lambdas/sn/sn0103.pfho.p,8266183,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.39016,1.38218,153828,Theorem,THM-Prf,Prf,THM
470458774,Sledgehammer_lambdas/sn/sn0104.pfho.p,8266115,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.42175,1.4135,152808,Theorem,THM-Prf,Prf,THM
