pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus,,5005
469182958,Sledgehammer_lambdas/fta/fta0328.pfho.p,8265696,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.01,298.611,662056,--,UNK-Non,Non,UNK,,
469182007,Sledgehammer_lambdas/fta/fta0329.pfho.p,8265379,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.1,298.66,623104,--,UNK-Non,Non,UNK,,
469181845,Sledgehammer_lambdas/fta/fta0330.pfho.p,8265325,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,165.183,164.359,848912,Theorem,THM-Prf,Prf,THM,,
469182805,Sledgehammer_lambdas/fta/fta0331.pfho.p,8265645,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.168758,0.329386,119288,Theorem,THM-Prf,Prf,THM,,
469182010,Sledgehammer_lambdas/fta/fta0332.pfho.p,8265380,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.16651,0.392529,119288,Theorem,THM-Prf,Prf,THM,,
469182982,Sledgehammer_lambdas/fta/fta0333.pfho.p,8265704,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,216.841,215.89,654964,Theorem,THM-Prf,Prf,THM,,
469182127,Sledgehammer_lambdas/fta/fta0334.pfho.p,8265419,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.81648,2.04394,208576,Theorem,THM-Prf,Prf,THM,,
469182550,Sledgehammer_lambdas/fta/fta0335.pfho.p,8265560,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,136.257,135.658,867088,Theorem,THM-Prf,Prf,THM,,
469182274,Sledgehammer_lambdas/fta/fta0336.pfho.p,8265468,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.06,298.615,1186640,--,UNK-Non,Non,UNK,,
469182688,Sledgehammer_lambdas/fta/fta0337.pfho.p,8265606,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300,298.527,772412,--,UNK-Non,Non,UNK,,
469182505,Sledgehammer_lambdas/fta/fta0338.pfho.p,8265545,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,204.856,203.842,827024,Theorem,THM-Prf,Prf,THM,,
469182178,Sledgehammer_lambdas/fta/fta0339.pfho.p,8265436,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.167414,0.399933,119288,Theorem,THM-Prf,Prf,THM,,
469182586,Sledgehammer_lambdas/fta/fta0340.pfho.p,8265572,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.07,298.614,797084,--,UNK-Non,Non,UNK,,
469182400,Sledgehammer_lambdas/fta/fta0341.pfho.p,8265510,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.176525,0.339315,119288,Theorem,THM-Prf,Prf,THM,,
469182424,Sledgehammer_lambdas/fta/fta0342.pfho.p,8265518,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,5.4518,5.58304,218556,Theorem,THM-Prf,Prf,THM,,
469182220,Sledgehammer_lambdas/fta/fta0343.pfho.p,8265450,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.200858,0.358963,119288,Theorem,THM-Prf,Prf,THM,,
469182931,Sledgehammer_lambdas/fta/fta0344.pfho.p,8265687,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.199225,0.437235,119288,Theorem,THM-Prf,Prf,THM,,
469182037,Sledgehammer_lambdas/fta/fta0345.pfho.p,8265389,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.205872,0.448303,119288,Theorem,THM-Prf,Prf,THM,,
469182775,Sledgehammer_lambdas/fta/fta0346.pfho.p,8265635,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.3878,1.61437,204480,Theorem,THM-Prf,Prf,THM,,
469181902,Sledgehammer_lambdas/fta/fta0347.pfho.p,8265344,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.04,298.617,947292,--,UNK-Non,Non,UNK,,
469182079,Sledgehammer_lambdas/fta/fta0348.pfho.p,8265403,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.096,298.587,967128,--,UNK-Non,Non,UNK,,
469182874,Sledgehammer_lambdas/fta/fta0349.pfho.p,8265668,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,47.2445,47.135,680304,Theorem,THM-Prf,Prf,THM,,
469182715,Sledgehammer_lambdas/fta/fta0350.pfho.p,8265615,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.025,298.484,1209072,--,UNK-Non,Non,UNK,,
469181920,Sledgehammer_lambdas/fta/fta0351.pfho.p,8265350,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.314533,0.550503,119288,Theorem,THM-Prf,Prf,THM,,
469182910,Sledgehammer_lambdas/fta/fta0352.pfho.p,8265680,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.787653,0.946718,189380,Theorem,THM-Prf,Prf,THM,,
469182094,Sledgehammer_lambdas/fta/fta0353.pfho.p,8265408,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.70102,1.8562,210112,Theorem,THM-Prf,Prf,THM,,
469182481,Sledgehammer_lambdas/fta/fta0354.pfho.p,8265537,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.071,298.523,730472,--,UNK-Non,Non,UNK,,
469182202,Sledgehammer_lambdas/fta/fta0355.pfho.p,8265444,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.03,298.578,670712,--,UNK-Non,Non,UNK,,
